VEHICLE_OCCUPANTS,LICENSED?,NUMBER OF PERSONS INJURED,FATAL?,VEHICLE_AGE,VEHICLE_COMPANY,FORD?,FEMALE?,DAYTIME?
1,0,0,0,9,HOND,0,1,1
1,1,0,0,16,FORD,1,0,1
1,1,0,0,7,MAZD,0,1,0
1,1,0,0,2,HOND,0,0,0
1,0,0,0,13,ACUR,0,0,0
1,1,0,0,9,NISS,0,1,0
1,1,0,0,4,HOND,0,0,0
1,1,0,0,1,INFI,0,0,0
8,1,0,0,8,CADI,0,0,1
1,1,0,0,1,TOYT,0,0,1
1,1,0,0,6,CHEV,0,1,0
1,1,0,0,21,HOND,0,0,0
2,1,0,0,1,HOND,0,0,1
1,1,0,0,13,NISS,0,1,1
1,1,0,0,8,HIN,0,0,1
1,1,0,0,17,HOND,0,0,1
1,1,0,0,5,HOND,0,0,1
1,1,0,0,5,NE/FL,0,0,0
1,1,0,0,2,HOND,0,0,0
4,1,0,0,9,TOYT,0,0,1
1,1,0,0,15,NISS,0,1,1
1,0,0,0,3,FORD,1,0,1
2,1,0,0,3,FORD,1,0,0
1,1,0,0,4,AUDI,0,0,1
1,1,0,0,1,HOND,0,0,1
1,1,0,0,4,TOYT,0,0,1
2,1,0,0,9,TOYT,0,0,0
1,1,0,0,1,KIA,0,0,0
1,1,0,0,15,BMW,0,0,0
1,1,0,0,5,GMC,0,0,0
1,1,0,0,3,HOND,0,0,1
1,1,0,0,17,LEXS,0,0,1
1,1,0,0,6,TOYT,0,0,1
4,1,0,0,1,HYUN,0,0,1
4,1,0,0,1,INFI,0,0,0
4,1,0,0,3,INFI,0,0,0
4,1,0,0,2,FORD,1,0,1
1,1,0,0,5,FORD,1,0,1
1,1,0,0,2,HOND,0,1,1
1,0,0,0,14,TOYT,0,0,0
1,1,0,0,2,TOYT,0,0,0
1,1,0,0,1,TOYT,0,0,1
1,1,0,0,12,HOND,0,1,0
1,1,0,0,5,FORD,1,0,0
1,0,0,0,7,NISS,0,0,0
1,1,0,0,3,TOYT,0,0,0
1,1,0,0,3,TOYT,0,0,0
1,1,0,0,2,NISS,0,0,0
1,1,0,0,8,TOYT,0,1,0
1,1,0,0,5,TOYT,0,0,1
2,1,0,0,1,TOYT,0,0,0
1,1,0,0,10,ACUR,0,1,1
1,1,0,0,6,ACUR,0,1,0
3,1,0,0,3,HOND,0,1,0
1,1,0,0,1,TOYT,0,0,1
11,1,0,0,16,FORD,1,0,0
1,0,0,0,1,FORD,1,0,0
1,1,0,0,12,MNNI,0,0,1
1,1,0,0,3,INFI,0,0,1
1,1,0,0,4,TOYT,0,0,0
1,1,0,0,1,TOYT,0,0,1
4,1,0,0,8,LEXS,0,0,0
1,1,0,0,11,HOND,0,0,0
1,1,0,0,2,NISS,0,0,0
1,1,0,0,2,TOYT,0,0,0
1,1,0,0,2,TOYT,0,0,1
1,1,0,0,1,TOYT,0,0,1
1,0,0,0,3,CHEV,0,0,1
3,1,0,0,6,NISS,0,0,0
2,1,0,0,5,MERZ,0,0,0
2,1,0,0,2,HOND,0,0,1
2,0,0,0,4,CHEV,0,1,1
1,0,0,0,2,JEEP,0,1,1
4,1,0,0,2,HYUN,0,0,0
3,0,0,0,7,DODG,0,1,0
2,1,0,0,5,BMW,0,0,1
1,1,0,0,3,TOYT,0,0,1
2,1,0,0,4,FORD,1,0,1
1,1,0,0,12,VOLK,0,0,1
1,1,0,0,11,MERZ,0,0,1
1,1,0,0,5,FORD,1,0,0
1,1,0,0,5,TOYT,0,0,1
3,0,0,0,8,CADI,0,0,0
1,1,0,0,10,FORD,1,0,1
1,1,0,0,12,TOYT,0,1,1
1,1,0,0,1,NISS,0,0,0
5,1,0,0,4,INFI,0,0,0
1,1,0,0,2,TOYT,0,0,0
4,0,0,0,8,CHRY,0,0,1
2,1,0,0,11,GMC,0,0,1
2,1,0,0,7,NISS,0,0,1
1,1,0,0,12,MERZ,0,0,1
1,1,0,0,18,FORD,1,0,1
4,1,0,0,4,TOYT,0,1,1
1,1,0,0,14,HOND,0,0,0
1,1,0,0,3,NISS,0,0,1
1,0,0,0,2,NISS,0,0,0
1,1,0,0,17,PORS,0,0,0
5,1,0,0,12,HOND,0,0,1
1,1,0,0,18,FORD,1,0,1
1,1,0,0,15,NISS,0,0,1
1,1,0,0,4,TOYT,0,0,0
2,1,0,0,11,CHEV,0,0,0
2,1,0,0,7,CHEV,0,0,1
2,1,0,0,13,HOND,0,0,1
3,0,0,0,7,JEEP,0,0,1
1,0,0,0,12,HYUN,0,0,1
1,1,0,0,2,BMW,0,0,1
2,1,0,0,2,FORD,1,0,1
1,1,0,0,6,FORD,1,0,0
1,0,0,0,13,LINC,0,0,0
1,1,0,0,25,GMC,0,0,0
2,1,0,0,1,NISS,0,0,1
1,0,0,0,4,NISS,0,0,1
1,1,0,0,4,NO/BU,0,0,1
2,1,0,0,13,HOND,0,0,1
7,1,0,0,14,FORD,1,0,1
2,1,0,0,4,DODG,0,0,1
4,1,0,0,1,NISS,0,1,1
2,1,0,0,6,BMW,0,0,1
1,1,0,0,5,HYUN,0,1,0
1,1,0,0,8,TOYT,0,0,0
1,1,0,0,4,CHEV,0,0,1
1,1,0,0,15,NISS,0,0,1
1,1,0,0,5,HOND,0,1,0
1,1,0,0,16,MERC,0,1,0
1,1,0,0,9,LINC,0,0,1
1,1,0,0,7,NISS,0,0,1
